Adding dependency `cuda/11.6.2-510.47.03` to your environment
Adding dependency `anaconda/2020.11:python3` to your environment
Adding package `openmm/20221108` to your environment

System Time is: 2023-03-23 19:35:29.449756
Creating the simulation system...
4.0*epsilon0*(frac^6)*((frac^6) - 1.0) + epsilon0;	                frac = sigma0/(r- bubble0 + sigma0*(2^(1/6)));	                r = min(bubble0,abs(periodicdistance(x, y, z, x0, y0, z0)));
4.0*epsilon1*(frac^6)*((frac^6) - 1.0) + epsilon1;	                frac = sigma1/(r- bubble1 + sigma1*(2^(1/6)));	                r = min(bubble1,abs(periodicdistance(x, y, z, x1, y1, z1)));
4.0*epsilon2*(frac^6)*((frac^6) - 1.0) + epsilon2;	                frac = sigma2/(r- bubble2 + sigma2*(2^(1/6)));	                r = min(bubble2,abs(periodicdistance(x, y, z, x2, y2, z2)));
4.0*epsilon3*(frac^6)*((frac^6) - 1.0) + epsilon3;	                frac = sigma3/(r- bubble3 + sigma3*(2^(1/6)));	                r = min(bubble3,abs(periodicdistance(x, y, z, x3, y3, z3)));
4.0*epsilon4*(frac^6)*((frac^6) - 1.0) + epsilon4;	                frac = sigma4/(r- bubble4 + sigma4*(2^(1/6)));	                r = min(bubble4,abs(periodicdistance(x, y, z, x4, y4, z4)));
4.0*epsilon5*(frac^6)*((frac^6) - 1.0) + epsilon5;	                frac = sigma5/(r- bubble5 + sigma5*(2^(1/6)));	                r = min(bubble5,abs(periodicdistance(x, y, z, x5, y5, z5)));

System Time is: 2023-03-23 19:35:37.608817
The simulation system has been created. Preparing for simulation...
bubble radius: 0.0254 A

System Time is: 2023-03-23 19:35:38.382766
Starting equilibration...

#"Step","Total Energy (kJ/mole)","Time Remaining"
295000,-40361.86882880985,1:10:12:12
296000,-39899.904098327934,1:10:12:12
297000,-40112.19932067309,1:10:12:14
298000,-40430.670481597044,1:10:12:15
299000,-39920.24655888666,1:10:12:15
300000,-39403.30594909974,1:10:12:16
301000,-40142.10320446087,1:10:12:16
302000,-40290.27314695997,1:10:12:16
303000,-39383.925568935694,1:10:12:17
304000,-39801.04615058728,1:10:12:17
305000,-40663.67207159898,1:10:12:18
306000,-39543.54262199698,1:10:12:18
307000,-40192.45629252445,1:10:12:18
308000,-39658.78647972339,1:10:12:19
309000,-40116.58953758869,1:10:12:18
310000,-39650.212905457345,1:10:12:19
311000,-39969.7532541798,1:10:12:19
312000,-39722.83798615047,1:10:12:20
313000,-39695.9827311246,1:10:12:21
314000,-39979.52596710685,1:10:12:22
315000,-39578.18769336886,1:10:12:21
316000,-39586.0480873928,1:10:12:22
317000,-39392.58141424884,1:10:12:21
318000,-39825.404236002985,1:10:12:19
319000,-40281.2622160493,1:10:12:17
320000,-40770.76374890613,1:10:12:14
321000,-39984.56959646457,1:10:12:13
322000,-39834.507126449505,1:10:12:13
323000,-40373.72308596104,1:10:12:13
324000,-39848.45025875135,1:10:12:13
325000,-39185.42174941418,1:10:12:13
326000,-40213.31069310117,1:10:12:14
327000,-39346.06466790833,1:10:12:13
328000,-39380.754834488376,1:10:12:11
329000,-39742.421509597174,1:10:12:10
330000,-39550.45867312534,1:10:12:09
331000,-40048.05211239382,1:10:12:08
332000,-39963.65177891618,1:10:12:06
333000,-39856.50555830482,1:10:12:03
334000,-39885.40654375474,1:10:12:01
335000,-39884.66122358446,1:10:12:00
336000,-39684.96803384941,1:10:11:57
337000,-40134.06411179935,1:10:11:55
338000,-41118.18447021118,1:10:11:53
339000,-39814.48989742073,1:10:11:52
340000,-40095.86215224169,1:10:11:51
341000,-40193.62536045067,1:10:11:49
342000,-39820.78844361401,1:10:11:48
343000,-39880.56944751217,1:10:11:46
344000,-39605.27112799608,1:10:11:42
345000,-40030.34149771751,1:10:11:40
346000,-39948.85913810489,1:10:11:38
347000,-39640.67852830697,1:10:11:36
348000,-40174.24457066857,1:10:11:32
349000,-40008.69802884772,1:10:11:29
350000,-39620.27248735544,1:10:11:27
351000,-40215.15670132042,1:10:11:24
352000,-40116.23681392096,1:10:11:20
353000,-40004.779156762816,1:10:11:18
354000,-39920.7383113593,1:10:11:15
355000,-40193.46837612699,1:10:11:12
356000,-40138.78288015935,1:10:11:08
357000,-40148.30993480931,1:10:11:04
358000,-39873.06260166051,1:10:10:59
359000,-40035.04135114988,1:10:10:54
360000,-39284.09992715866,1:10:10:50
361000,-39452.53072045593,1:10:10:46
362000,-39472.11697538059,1:10:10:40
363000,-39884.23199702562,1:10:10:36
364000,-39019.0007809939,1:10:10:33
365000,-39364.297670956104,1:10:10:29
366000,-39499.39319680122,1:10:10:26
367000,-39482.96409620001,1:10:10:22
368000,-39894.80833235803,1:10:10:18
369000,-39682.09224044332,1:10:10:15
370000,-40423.91579767247,1:10:10:12
371000,-40005.06618547272,1:10:10:09
372000,-40616.351024290474,1:10:10:06
373000,-39830.07617398264,1:10:10:02
374000,-40108.939996309564,1:10:09:59
375000,-39956.72446014332,1:10:09:55
376000,-39821.562201609486,1:10:09:51
377000,-39797.13156614114,1:10:09:47
378000,-39924.12661135888,1:10:09:43
379000,-39650.52225906319,1:10:09:39
380000,-39819.37183320197,1:10:09:34
381000,-40370.29924414347,1:10:09:27
382000,-40099.56665372645,1:10:09:23
383000,-40246.69000094361,1:10:09:18
384000,-39658.564660668104,1:10:09:14
385000,-40095.16174494587,1:10:09:09
386000,-39445.686951033334,1:10:09:03
387000,-40210.70999558503,1:10:08:59
388000,-39739.99480492436,1:10:08:54
389000,-39349.88286204163,1:10:08:49
390000,-40571.418477891406,1:10:08:45
391000,-39253.78316274544,1:10:08:39
392000,-40009.005863240156,1:10:08:35
393000,-40201.133990919596,1:10:08:29
394000,-40074.10924224318,1:10:08:25
395000,-40477.9552343182,1:10:08:20
396000,-40691.10092813849,1:10:08:15
397000,-40065.269645211534,1:10:08:09
398000,-39962.52884389702,1:10:08:05
399000,-40210.02741276419,1:10:08:00
400000,-39675.579092246815,1:10:07:55
bubble radius: 0.1292 A

System Time is: 2023-03-23 20:35:52.006933
Starting equilibration...

401000,-39931.259561786384,1:10:07:27
402000,-39987.12540754888,1:10:06:56
403000,-39837.31691015237,1:10:06:27
404000,-39601.130360339244,1:10:05:57
405000,-40449.542153562084,1:10:05:28
406000,-39635.68496244919,1:10:04:58
407000,-40026.76190730304,1:10:04:29
408000,-39117.93915207489,1:10:04:00
409000,-40136.03056242068,1:10:03:31
410000,-40403.76224491265,1:10:03:03
411000,-40923.8436067319,1:10:02:34
412000,-40226.42872608827,1:10:02:05
413000,-39902.25175130308,1:10:01:37
414000,-40868.340799289064,1:10:01:09
415000,-40116.82142814707,1:10:00:41
416000,-39648.82584422245,1:10:00:13
417000,-39867.03888216646,1:9:59:45
418000,-39761.492994067165,1:9:59:17
419000,-40204.673847192935,1:9:58:49
420000,-40143.11910265975,1:9:58:21
421000,-40684.34067921055,1:9:57:54
422000,-39899.069502754035,1:9:57:27
423000,-40611.313985733585,1:9:56:59
424000,-39423.61359511492,1:9:56:32
425000,-40293.78254481019,1:9:56:05
426000,-40463.785596540765,1:9:55:38
427000,-39854.92500891386,1:9:55:11
428000,-40198.79696470916,1:9:54:45
429000,-40124.72421207446,1:9:54:19
430000,-39672.103358473505,1:9:53:53
431000,-39813.16599749238,1:9:53:27
432000,-39776.662706098345,1:9:53:01
433000,-39911.657363678096,1:9:52:38
434000,-39097.09737651646,1:9:52:12
435000,-39380.15409151616,1:9:51:47
436000,-39922.07384434756,1:9:51:22
437000,-39438.81972423503,1:9:50:58
438000,-40066.87968981174,1:9:50:33
439000,-40305.862505429744,1:9:50:09
440000,-40126.095783361045,1:9:49:45
441000,-39540.34931041674,1:9:49:22
442000,-39661.568362054255,1:9:48:58
443000,-40080.88278264756,1:9:48:33
444000,-40162.50291463704,1:9:48:11
445000,-40049.06169890934,1:9:47:48
446000,-39367.65803114981,1:9:47:26
447000,-40027.42590825641,1:9:47:03
448000,-40047.773881688336,1:9:46:40
449000,-40040.314751674974,1:9:46:17
450000,-40248.31271867106,1:9:45:54
451000,-40136.38488926983,1:9:45:30
452000,-40038.57329181827,1:9:45:06
453000,-39959.54518365658,1:9:44:41
454000,-39940.97417905453,1:9:44:16
455000,-40237.31166497577,1:9:43:51
456000,-39296.13556002859,1:9:43:26
457000,-39840.60351677802,1:9:43:02
458000,-39151.36707962177,1:9:42:37
459000,-39800.44282019908,1:9:42:13
460000,-39262.20455445173,1:9:41:49
461000,-40387.55602995813,1:9:41:25
462000,-39992.63865238507,1:9:41:00
463000,-40258.422818484345,1:9:40:36
464000,-39709.56134212448,1:9:40:11
465000,-40086.26865698495,1:9:39:47
466000,-39850.627563525384,1:9:39:22
467000,-39795.138831500124,1:9:38:58
468000,-39216.284086537504,1:9:38:33
469000,-39543.09647584506,1:9:38:10
470000,-39174.08276834669,1:9:37:45
471000,-39783.26833208642,1:9:37:22
472000,-39044.51653307921,1:9:37:00
473000,-39741.7517465487,1:9:36:37
474000,-40074.599894652274,1:9:36:13
475000,-39309.00115006791,1:9:35:50
476000,-40414.764436358615,1:9:35:27
477000,-40281.58936839213,1:9:35:04
478000,-40453.54045235431,1:9:34:42
479000,-39270.04961916806,1:9:34:20
480000,-39350.907093973474,1:9:33:57
481000,-39078.032794312254,1:9:33:33
482000,-39733.88211741594,1:9:33:10
