Adding dependency `cuda/11.6.2-510.47.03` to your environment
Adding dependency `anaconda/2020.11:python3` to your environment
Adding package `openmm/20221108` to your environment

System Time is: 2023-03-26 16:33:17.390083
Creating the simulation system...

System Time is: 2023-03-26 16:33:25.836066
The simulation system has been created. Preparing for simulation...
bubble radius: 0.5 A
#"Step","Total Energy (kJ/mole)"
865000,-39357.56151733965
866000,-39645.19621664708
867000,-39963.0977292756
868000,-39298.1569147531
869000,-39916.093361863066
870000,-39161.52884016095
871000,-40051.239958618666
872000,-39741.13425608093
873000,-39293.405791819314
874000,-39533.491561359915
875000,-40607.35178627755
876000,-39895.090132904945
877000,-40140.68438604383
878000,-39476.85325689797
879000,-39401.82734682221
880000,-40058.67757528831
881000,-39663.81493564225
882000,-39826.345438303266
883000,-39804.86243319881
884000,-39787.82086477736
885000,-40111.42571717095
886000,-40332.74813303519
887000,-39545.55532692834
888000,-40095.330246022684
889000,-40655.311452939895
890000,-40066.01946798498
891000,-39973.36133521302
892000,-40598.85717410484
893000,-40346.02521965525
894000,-39846.98394422735
895000,-40317.872483105355
896000,-40237.21783758606
897000,-39789.36303885317
898000,-40185.19584957866
899000,-39303.60012712578
900000,-40048.55964193081
901000,-39803.72855431525
902000,-40596.961298963644
903000,-40098.97868090641
904000,-40058.87464095185
905000,-39458.18519295943
906000,-39800.08936604012
907000,-39648.719002958984
908000,-39872.624046972465
909000,-39941.20725513951
910000,-39807.415685206266
911000,-39301.661003417656
912000,-39764.96663546011
913000,-39996.62361414492
914000,-40232.0402340153
915000,-39753.783863726625
916000,-40161.89423405516
917000,-39291.685064914265
918000,-39858.34953662015
919000,-40468.745299930975
920000,-39770.131427912136
921000,-40001.59058565168
922000,-40107.93980618114
923000,-40040.646547788034
924000,-40506.36378635709
925000,-39637.16514657322
926000,-39132.41870800004
927000,-39508.17759830842
928000,-39785.28372286452
929000,-40021.912228814814
930000,-40033.424046547865
931000,-40000.23414173948
932000,-39866.58021097243
933000,-39587.43432447915
934000,-40502.47572706637
935000,-40189.82148354713
936000,-39727.687526607435
937000,-39824.77654442829
938000,-39855.84402773831
939000,-40189.801202899514
940000,-39968.0840036003
941000,-39994.602659729746
942000,-39984.24135988637
943000,-39352.53126942048
944000,-39027.27917501971
945000,-39344.37935121564
946000,-39435.57989323557
947000,-39707.58813018445
948000,-39488.088737964106
949000,-39717.04870895631
950000,-39417.30521234328
951000,-39671.877706131745
952000,-39426.31703673428
953000,-39340.757132362865
954000,-40114.108944678956
955000,-39604.52524809442
956000,-40359.016857290495
957000,-39341.804908577644
958000,-40229.87198951529
959000,-39696.9949995083
960000,-40461.970772693545
961000,-39019.89721609623
962000,-40474.366092236596
963000,-39923.82561951857
964000,-39853.61384869584
965000,-39136.078474015325
966000,-39909.96996833569
967000,-40504.56377676952
968000,-39762.17064331462
969000,-39430.650186821804
970000,-40213.52848373931
971000,-39621.14846683106
972000,-39958.03465810386
973000,-40530.070476391804
974000,-39873.35378454979
975000,-40343.16299408839
976000,-39913.78792816479
977000,-39432.57677435029
978000,-40177.796114609475
979000,-40339.20009104184
980000,-40326.32325234687
981000,-40109.86935703432
982000,-39488.34513337971
983000,-39585.69490740537
984000,-39887.95149143417
985000,-40346.6406853592
986000,-39943.91741611235
987000,-40626.290017149855
988000,-39715.88891715401
989000,-40129.64414454036
990000,-39598.08811036323
991000,-40314.61945691486
992000,-39738.5108943453
993000,-40182.905678542535
994000,-39825.68505094592
995000,-40638.43461821649
996000,-39842.24563035485
997000,-39739.72110785202
998000,-39558.630848052235
999000,-40374.23794327871
1000000,-40292.6065864865
1001000,-40019.358450874905
1002000,-40175.879363270324
1003000,-40559.491495176786
1004000,-39680.225947287065
1005000,-40382.86672930445
1006000,-39621.22360038359
1007000,-40040.068596666955
1008000,-40001.20443687464
1009000,-39769.47716608613
1010000,-39827.771542200106

System Time is: 2023-03-26 18:57:18.226516
Finished simulation.

Total simulation time:  2:24:00.836433
