Adding dependency `cuda/11.6.2-510.47.03` to your environment
Adding dependency `anaconda/2020.11:python3` to your environment
Adding package `openmm/20221108` to your environment

System Time is: 2023-03-23 19:35:28.604364
Creating the simulation system...
4.0*epsilon0*(frac^6)*((frac^6) - 1.0) + epsilon0;	                frac = sigma0/(r- bubble0 + sigma0*(2^(1/6)));	                r = min(bubble0,abs(periodicdistance(x, y, z, x0, y0, z0)));
4.0*epsilon1*(frac^6)*((frac^6) - 1.0) + epsilon1;	                frac = sigma1/(r- bubble1 + sigma1*(2^(1/6)));	                r = min(bubble1,abs(periodicdistance(x, y, z, x1, y1, z1)));
4.0*epsilon2*(frac^6)*((frac^6) - 1.0) + epsilon2;	                frac = sigma2/(r- bubble2 + sigma2*(2^(1/6)));	                r = min(bubble2,abs(periodicdistance(x, y, z, x2, y2, z2)));
4.0*epsilon3*(frac^6)*((frac^6) - 1.0) + epsilon3;	                frac = sigma3/(r- bubble3 + sigma3*(2^(1/6)));	                r = min(bubble3,abs(periodicdistance(x, y, z, x3, y3, z3)));

System Time is: 2023-03-23 19:35:36.788042
The simulation system has been created. Preparing for simulation...
bubble radius: 0.0254 A

System Time is: 2023-03-23 19:35:37.568083
Starting equilibration...

#"Step","Total Energy (kJ/mole)","Time Remaining"
436000,-40149.82789913001,1:9:32:16
437000,-39524.65622556891,1:9:31:51
438000,-39767.67279424309,1:9:31:26
439000,-39746.97579068779,1:9:31:02
440000,-40114.42288580735,1:9:30:37
441000,-39472.27443722193,1:9:30:13
442000,-39530.99814025314,1:9:29:48
443000,-39794.39635738724,1:9:29:24
444000,-39261.098276175864,1:9:29:00
445000,-39377.22977611134,1:9:28:36
446000,-39469.252329070994,1:9:28:11
447000,-40089.52945626491,1:9:27:47
448000,-39528.10153641098,1:9:27:24
449000,-40284.17679260221,1:9:27:01
450000,-39643.636861837265,1:9:26:37
451000,-40145.06286526477,1:9:26:15
452000,-40307.94722112284,1:9:25:52
453000,-40216.29735946126,1:9:25:28
454000,-39584.41849592519,1:9:25:06
455000,-39803.54991375582,1:9:24:42
456000,-39545.69365723377,1:9:24:19
457000,-39432.83585255323,1:9:23:56
458000,-39893.52630700061,1:9:23:32
459000,-39725.54452698029,1:9:23:08
460000,-39682.41899580126,1:9:22:44
461000,-39944.1865214619,1:9:22:19
462000,-39761.154747658074,1:9:21:55
463000,-39644.23352332522,1:9:21:32
464000,-39399.416286753534,1:9:21:11
465000,-39929.00026017864,1:9:20:50
466000,-40000.811455952906,1:9:20:29
467000,-39790.325757659724,1:9:20:07
468000,-39930.1009698615,1:9:19:44
469000,-39904.1616910552,1:9:19:20
470000,-40208.00161650032,1:9:18:57
471000,-39990.62765894941,1:9:18:33
472000,-39915.2253664967,1:9:18:10
473000,-39951.76094526674,1:9:17:47
474000,-39824.14650384798,1:9:17:23
475000,-39261.678120087,1:9:17:00
476000,-40015.5034832363,1:9:16:37
477000,-39105.246642377475,1:9:16:14
478000,-39408.40465502666,1:9:15:50
479000,-39469.5701611612,1:9:15:27
480000,-40230.34241013916,1:9:15:03
481000,-39333.02730589407,1:9:14:40
482000,-39929.491509570275,1:9:14:17
483000,-39773.69662782291,1:9:13:54
484000,-39701.45572684612,1:9:13:30
485000,-39729.18563519447,1:9:13:07
486000,-39337.09352868828,1:9:12:44
487000,-39260.30603644522,1:9:12:21
488000,-39696.94831393176,1:9:11:57
489000,-39781.624212408205,1:9:11:34
490000,-39750.47156775241,1:9:11:10
491000,-40018.56653225917,1:9:10:47
492000,-39682.2466923927,1:9:10:25
493000,-39454.217686729025,1:9:10:03
494000,-39750.652630092685,1:9:09:40
495000,-39690.04306643924,1:9:09:17
496000,-39604.7206909355,1:9:08:55
497000,-40083.48537850463,1:9:08:33
498000,-39503.341995486815,1:9:08:10
499000,-39396.12449642137,1:9:07:49
500000,-40093.939329819594,1:9:07:26

System Time is: 2023-03-23 20:49:13.586932
Starting production...

501000,-39516.007636045404,1:9:07:26
502000,-39758.9159633971,1:9:07:26
503000,-39707.373044633816,1:9:07:25
504000,-39383.3302488161,1:9:07:25
505000,-39771.314266521455,1:9:07:25
506000,-39561.415991928734,1:9:07:25
507000,-39498.92250989689,1:9:07:25
508000,-40503.30235066921,1:9:07:25
509000,-39748.47044673148,1:9:07:25
510000,-39637.987954775024,1:9:07:24
511000,-39900.58147644969,1:9:07:24
512000,-39822.62589906782,1:9:07:23
513000,-39963.60982068848,1:9:07:22
514000,-39433.65912090384,1:9:07:21
515000,-39384.30683964486,1:9:07:20
516000,-39896.17321933182,1:9:07:18
517000,-39807.76097215431,1:9:07:17
518000,-40312.124787734385,1:9:07:16
519000,-40413.63839030343,1:9:07:15
520000,-40016.20623851933,1:9:07:14
521000,-39760.079835625394,1:9:07:13
522000,-39759.41817893836,1:9:07:11
523000,-39963.29584090826,1:9:07:09
524000,-39765.70015565908,1:9:07:08
525000,-40327.97804014595,1:9:07:07
526000,-39238.34115000335,1:9:07:05
527000,-39487.452346754064,1:9:07:04
528000,-39427.662861054894,1:9:07:03
529000,-39513.881064468456,1:9:07:00
530000,-39101.12480818077,1:9:06:57
531000,-39592.146443910795,1:9:06:56
532000,-39352.04046312098,1:9:06:55
533000,-40029.894677249045,1:9:06:54
534000,-39117.93947988038,1:9:06:52
