r,elect_mean,elect_var,elect_seom,vdw_mean,vdw_var,vdw_seom
10.0538,-33.010739403063575,2.4196540321013216,0.003988391240925727,-0.0215996798369601,0.00015412714628595156,3.183176247711177e-05
10.12486,-32.786593892034396,2.3514067017223703,0.003907388513671105,-0.020573028725034415,0.00013581726522145893,2.9696154248644814e-05
10.19591,-32.56412814653656,2.2843561851549286,0.0038232892616786125,-0.019649368101103827,0.00012171417961465601,2.79078149297349e-05
10.26696,-32.338232391936295,2.2264359957485436,0.003750999189218938,-0.018763801820020222,0.00010809806253089335,2.6136703905031633e-05
10.33801,-32.113876409023234,2.1657220999043383,0.0036731455803460343,-0.017907108815778817,9.645091552429844e-05,2.4512632512905528e-05
10.40906,-31.902323042239267,2.111880275447864,0.0036092003584731512,-0.017123587500925217,8.610907982849589e-05,2.3046279202962138e-05
10.48011,-31.683176226744685,2.0610446011760626,0.003548010277550261,-0.016368040506700217,7.706626397164121e-05,2.169568301738754e-05
10.55117,-31.461804609407615,1.995787153125968,0.003475263118135165,-0.015642278016810996,6.81263529293084e-05,2.030430600450712e-05
10.62222,-31.251234233685967,1.9500281101461547,0.003411003249700722,-0.014945848175130222,5.982563253849408e-05,1.8893192379590546e-05
10.69327,-31.046015472357915,1.8873159802499218,0.0033389348015390547,-0.014296741075911603,5.358328287918272e-05,1.7790997111775567e-05
10.76432,-30.84158874743182,1.8384823605905498,0.0032804519529126444,-0.013653059277339749,4.710614635663251e-05,1.6605147439285117e-05
10.83537,-30.63779224070411,1.790119130217614,0.0032227117632509018,-0.013074529040792293,4.212695716751868e-05,1.563365569142648e-05
10.90642,-30.440304468450776,1.7421394487707276,0.0031539152905736265,-0.01254713284876584,3.7980518150029785e-05,1.4726142877703915e-05
10.97747,-30.238928893084843,1.7011530367589174,0.003110455334553612,-0.012026497034083863,3.362683097491151e-05,1.382914236192252e-05
11.04853,-30.04733300416147,1.6523469283567243,0.0030319596522032,-0.011498710944454336,2.9928575417809865e-05,1.2903746468474027e-05
11.11958,-29.861033081654245,1.6166402272222666,0.0029849055797747325,-0.011030121577531853,2.672783468736634e-05,1.2136844717136304e-05
11.19063,-29.67017627662472,1.575619152199941,0.0029297109321371763,-0.010565300430353544,2.3773020884150418e-05,1.1379975628850629e-05
11.26168,-29.485446233550142,1.5256591237090447,0.0028708874118205173,-0.010150857337338202,2.1534373707863853e-05,1.0785828947182412e-05
11.33273,-29.302935525986502,1.4942479524308547,0.002820675553468021,-0.009727606238252693,1.9351904391376006e-05,1.0150879088205284e-05
11.40378,-29.122599035425615,1.460037945510947,0.002771843473395729,-0.009333205460133031,1.7154908410869627e-05,9.50125189802998e-06
11.47484,-28.93542473973771,1.4224659051319184,0.002719722007724063,-0.00898793901386332,1.57034524622341e-05,9.03651876553829e-06
